t 16 44
v 0 22 2
v 1 34 7
v 2 5 2
v 3 34 6
v 4 2 7
v 5 11 3
v 6 20 5
v 7 12 9
v 8 37 6
v 9 13 1
v 10 25 9
v 11 31 5
v 12 20 5
v 13 28 6
v 14 7 8
v 15 29 7
e 0 5 0
e 0 2 0
e 1 8 0
e 1 14 0
e 1 4 0
e 1 7 0
e 1 10 0
e 1 3 0
e 1 13 0
e 2 15 0
e 3 4 0
e 3 7 0
e 3 10 0
e 3 6 0
e 3 11 0
e 4 8 0
e 4 14 0
e 4 7 0
e 4 10 0
e 4 13 0
e 5 8 0
e 5 14 0
e 6 11 0
e 6 13 0
e 6 15 0
e 6 12 0
e 7 8 0
e 7 14 0
e 7 10 0
e 7 13 0
e 7 15 0
e 7 12 0
e 8 14 0
e 8 10 0
e 9 15 0
e 10 14 0
e 10 13 0
e 10 15 0
e 10 12 0
e 11 13 0
e 11 15 0
e 11 12 0
e 12 14 0
e 14 15 0
