t 16 45
v 0 30 5
v 1 11 11
v 2 27 11
v 3 4 4
v 4 6 3
v 5 4 3
v 6 6 4
v 7 21 3
v 8 7 5
v 9 1 4
v 10 12 5
v 11 7 5
v 12 13 4
v 13 32 15
v 14 26 4
v 15 11 4
e 0 13 0
e 0 1 0
e 0 2 0
e 0 10 0
e 0 8 0
e 1 13 0
e 1 2 0
e 1 10 0
e 1 14 0
e 1 11 0
e 1 4 0
e 1 9 0
e 1 6 0
e 1 12 0
e 1 8 0
e 2 13 0
e 2 10 0
e 2 14 0
e 2 11 0
e 2 4 0
e 2 9 0
e 2 6 0
e 2 12 0
e 2 8 0
e 3 13 0
e 3 15 0
e 3 5 0
e 3 7 0
e 4 13 0
e 5 13 0
e 5 15 0
e 6 13 0
e 6 11 0
e 7 13 0
e 7 15 0
e 8 13 0
e 8 10 0
e 9 13 0
e 9 14 0
e 10 13 0
e 11 13 0
e 11 12 0
e 12 13 0
e 13 15 0
e 13 14 0
