t 16 57
v 0 24 10
v 1 30 7
v 2 22 14
v 3 35 10
v 4 7 2
v 5 24 7
v 6 24 10
v 7 2 7
v 8 36 10
v 9 36 3
v 10 26 2
v 11 8 10
v 12 3 7
v 13 11 2
v 14 26 10
v 15 14 3
e 0 2 0
e 0 1 0
e 0 3 0
e 0 5 0
e 0 6 0
e 0 12 0
e 0 14 0
e 0 8 0
e 0 11 0
e 0 7 0
e 1 2 0
e 1 3 0
e 1 6 0
e 1 14 0
e 1 8 0
e 1 11 0
e 2 3 0
e 2 5 0
e 2 6 0
e 2 12 0
e 2 14 0
e 2 8 0
e 2 11 0
e 2 7 0
e 2 10 0
e 2 15 0
e 2 4 0
e 2 9 0
e 3 5 0
e 3 6 0
e 3 12 0
e 3 14 0
e 3 8 0
e 3 11 0
e 3 7 0
e 4 15 0
e 5 6 0
e 5 14 0
e 5 8 0
e 5 11 0
e 6 12 0
e 6 14 0
e 6 8 0
e 6 11 0
e 6 7 0
e 7 14 0
e 7 8 0
e 7 11 0
e 8 12 0
e 8 14 0
e 8 11 0
e 9 13 0
e 9 15 0
e 10 13 0
e 11 12 0
e 11 14 0
e 12 14 0
