t 16 39
v 0 16 3
v 1 3 3
v 2 27 7
v 3 30 3
v 4 31 3
v 5 4 4
v 6 32 4
v 7 30 3
v 8 37 3
v 9 4 4
v 10 31 7
v 11 36 15
v 12 6 2
v 13 3 7
v 14 39 4
v 15 35 6
e 0 11 0
e 0 15 0
e 0 8 0
e 1 11 0
e 1 3 0
e 1 6 0
e 2 11 0
e 2 10 0
e 2 13 0
e 2 15 0
e 2 14 0
e 2 9 0
e 2 5 0
e 3 11 0
e 3 12 0
e 4 11 0
e 4 7 0
e 4 6 0
e 5 11 0
e 5 10 0
e 5 13 0
e 6 11 0
e 6 7 0
e 7 11 0
e 8 11 0
e 8 15 0
e 9 11 0
e 9 10 0
e 9 13 0
e 10 11 0
e 10 13 0
e 10 15 0
e 10 14 0
e 11 12 0
e 11 13 0
e 11 15 0
e 11 14 0
e 13 15 0
e 13 14 0
