t 16 72
v 0 35 5
v 1 36 7
v 2 36 5
v 3 1 15
v 4 16 15
v 5 30 7
v 6 28 15
v 7 21 15
v 8 1 15
v 9 28 6
v 10 12 7
v 11 12 6
v 12 14 7
v 13 8 7
v 14 8 7
v 15 16 5
e 0 3 0
e 0 4 0
e 0 6 0
e 0 7 0
e 0 8 0
e 1 3 0
e 1 4 0
e 1 6 0
e 1 7 0
e 1 8 0
e 1 5 0
e 1 11 0
e 2 3 0
e 2 4 0
e 2 6 0
e 2 7 0
e 2 8 0
e 3 4 0
e 3 6 0
e 3 7 0
e 3 8 0
e 3 10 0
e 3 5 0
e 3 12 0
e 3 14 0
e 3 9 0
e 3 13 0
e 3 11 0
e 3 15 0
e 4 6 0
e 4 7 0
e 4 8 0
e 4 10 0
e 4 5 0
e 4 12 0
e 4 14 0
e 4 9 0
e 4 13 0
e 4 11 0
e 4 15 0
e 5 6 0
e 5 7 0
e 5 8 0
e 5 14 0
e 6 7 0
e 6 8 0
e 6 10 0
e 6 12 0
e 6 14 0
e 6 9 0
e 6 13 0
e 6 11 0
e 6 15 0
e 7 8 0
e 7 10 0
e 7 12 0
e 7 14 0
e 7 9 0
e 7 13 0
e 7 11 0
e 7 15 0
e 8 10 0
e 8 12 0
e 8 14 0
e 8 9 0
e 8 13 0
e 8 11 0
e 8 15 0
e 9 10 0
e 10 13 0
e 12 14 0
e 12 13 0
