t 16 44
v 0 37 5
v 1 29 5
v 2 9 5
v 3 25 3
v 4 4 15
v 5 29 15
v 6 2 5
v 7 21 3
v 8 30 4
v 9 25 5
v 10 20 2
v 11 3 4
v 12 2 4
v 13 31 3
v 14 9 5
v 15 17 5
e 0 4 0
e 0 5 0
e 0 14 0
e 0 15 0
e 0 6 0
e 1 4 0
e 1 5 0
e 1 2 0
e 1 11 0
e 1 7 0
e 2 4 0
e 2 5 0
e 2 11 0
e 2 3 0
e 3 4 0
e 3 5 0
e 4 5 0
e 4 9 0
e 4 8 0
e 4 12 0
e 4 13 0
e 4 11 0
e 4 7 0
e 4 14 0
e 4 15 0
e 4 6 0
e 4 10 0
e 5 9 0
e 5 8 0
e 5 12 0
e 5 13 0
e 5 11 0
e 5 7 0
e 5 14 0
e 5 15 0
e 5 6 0
e 5 10 0
e 6 14 0
e 6 15 0
e 8 9 0
e 8 12 0
e 9 12 0
e 9 13 0
e 14 15 0
