t 16 79
v 0 18 13
v 1 36 13
v 2 34 3
v 3 36 8
v 4 33 9
v 5 36 13
v 6 14 8
v 7 20 13
v 8 27 9
v 9 19 13
v 10 34 9
v 11 38 5
v 12 32 13
v 13 7 13
v 14 21 8
v 15 32 8
e 0 7 0
e 0 9 0
e 0 12 0
e 0 13 0
e 0 1 0
e 0 5 0
e 0 14 0
e 0 15 0
e 0 6 0
e 0 3 0
e 0 10 0
e 0 8 0
e 0 4 0
e 1 7 0
e 1 9 0
e 1 12 0
e 1 13 0
e 1 5 0
e 1 14 0
e 1 15 0
e 1 6 0
e 1 3 0
e 1 10 0
e 1 8 0
e 1 4 0
e 2 10 0
e 2 8 0
e 2 4 0
e 3 11 0
e 3 7 0
e 3 9 0
e 3 12 0
e 3 13 0
e 3 5 0
e 4 11 0
e 4 7 0
e 4 9 0
e 4 12 0
e 4 13 0
e 4 5 0
e 5 7 0
e 5 9 0
e 5 12 0
e 5 13 0
e 5 14 0
e 5 15 0
e 5 6 0
e 5 10 0
e 5 8 0
e 6 11 0
e 6 7 0
e 6 9 0
e 6 12 0
e 6 13 0
e 7 9 0
e 7 12 0
e 7 13 0
e 7 14 0
e 7 15 0
e 7 10 0
e 7 8 0
e 8 11 0
e 8 9 0
e 8 12 0
e 8 13 0
e 9 12 0
e 9 13 0
e 9 14 0
e 9 15 0
e 9 10 0
e 10 11 0
e 10 12 0
e 10 13 0
e 12 13 0
e 12 14 0
e 12 15 0
e 13 14 0
e 13 15 0
e 14 15 0
