t 16 78
v 0 15 7
v 1 7 7
v 2 19 7
v 3 0 15
v 4 25 14
v 5 31 15
v 6 18 6
v 7 21 7
v 8 11 7
v 9 34 14
v 10 3 14
v 11 9 12
v 12 25 7
v 13 36 11
v 14 4 7
v 15 7 6
e 0 13 0
e 0 4 0
e 0 3 0
e 0 5 0
e 0 9 0
e 0 10 0
e 0 11 0
e 1 13 0
e 1 4 0
e 1 3 0
e 1 5 0
e 1 9 0
e 1 10 0
e 1 11 0
e 2 13 0
e 2 4 0
e 2 3 0
e 2 5 0
e 2 9 0
e 2 10 0
e 2 11 0
e 3 13 0
e 3 4 0
e 3 7 0
e 3 8 0
e 3 5 0
e 3 9 0
e 3 10 0
e 3 11 0
e 3 12 0
e 3 6 0
e 3 14 0
e 3 15 0
e 4 13 0
e 4 7 0
e 4 8 0
e 4 5 0
e 4 9 0
e 4 10 0
e 4 12 0
e 4 6 0
e 4 14 0
e 4 15 0
e 5 13 0
e 5 7 0
e 5 8 0
e 5 9 0
e 5 10 0
e 5 11 0
e 5 12 0
e 5 6 0
e 5 14 0
e 5 15 0
e 6 9 0
e 6 10 0
e 6 11 0
e 7 13 0
e 7 9 0
e 7 10 0
e 7 11 0
e 8 13 0
e 8 9 0
e 8 10 0
e 8 11 0
e 9 13 0
e 9 10 0
e 9 12 0
e 9 14 0
e 9 15 0
e 10 13 0
e 10 12 0
e 10 14 0
e 10 15 0
e 11 13 0
e 11 12 0
e 11 14 0
e 11 15 0
e 12 14 0
