t 16 79
v 0 22 7
v 1 6 8
v 2 17 8
v 3 36 14
v 4 13 7
v 5 19 7
v 6 13 14
v 7 26 14
v 8 33 13
v 9 0 7
v 10 8 13
v 11 21 9
v 12 39 7
v 13 12 7
v 14 20 14
v 15 12 9
e 0 8 0
e 0 11 0
e 0 10 0
e 0 14 0
e 0 3 0
e 0 6 0
e 0 7 0
e 1 8 0
e 1 11 0
e 1 10 0
e 1 14 0
e 1 3 0
e 1 6 0
e 1 7 0
e 1 15 0
e 2 8 0
e 2 11 0
e 2 10 0
e 2 14 0
e 2 3 0
e 2 6 0
e 2 7 0
e 2 15 0
e 3 8 0
e 3 10 0
e 3 14 0
e 3 6 0
e 3 7 0
e 3 13 0
e 3 5 0
e 3 15 0
e 3 12 0
e 3 9 0
e 3 4 0
e 4 8 0
e 4 11 0
e 4 10 0
e 4 14 0
e 4 6 0
e 4 7 0
e 5 8 0
e 5 11 0
e 5 10 0
e 5 14 0
e 5 6 0
e 5 7 0
e 6 8 0
e 6 10 0
e 6 14 0
e 6 7 0
e 6 13 0
e 6 15 0
e 6 12 0
e 6 9 0
e 7 8 0
e 7 10 0
e 7 14 0
e 7 13 0
e 7 15 0
e 7 12 0
e 7 9 0
e 8 14 0
e 8 13 0
e 8 15 0
e 8 12 0
e 8 9 0
e 9 11 0
e 9 10 0
e 9 14 0
e 10 14 0
e 10 13 0
e 10 15 0
e 10 12 0
e 11 13 0
e 11 15 0
e 11 12 0
e 12 14 0
e 13 14 0
e 14 15 0
