t 16 62
v 0 16 2
v 1 5 5
v 2 24 3
v 3 35 7
v 4 32 10
v 5 13 13
v 6 4 12
v 7 24 12
v 8 2 7
v 9 7 7
v 10 2 7
v 11 39 12
v 12 36 7
v 13 18 7
v 14 10 5
v 15 29 8
e 0 5 0
e 0 2 0
e 1 4 0
e 1 5 0
e 1 6 0
e 1 7 0
e 1 11 0
e 2 4 0
e 2 3 0
e 3 4 0
e 3 5 0
e 3 6 0
e 3 7 0
e 3 11 0
e 3 15 0
e 4 15 0
e 4 8 0
e 4 9 0
e 4 10 0
e 4 13 0
e 4 12 0
e 4 14 0
e 5 6 0
e 5 7 0
e 5 11 0
e 5 15 0
e 5 8 0
e 5 9 0
e 5 10 0
e 5 13 0
e 5 12 0
e 5 14 0
e 6 7 0
e 6 11 0
e 6 15 0
e 6 8 0
e 6 9 0
e 6 10 0
e 6 13 0
e 6 12 0
e 6 14 0
e 7 11 0
e 7 15 0
e 7 8 0
e 7 9 0
e 7 10 0
e 7 13 0
e 7 12 0
e 7 14 0
e 8 11 0
e 8 9 0
e 8 10 0
e 9 11 0
e 9 10 0
e 10 11 0
e 11 15 0
e 11 13 0
e 11 12 0
e 11 14 0
e 12 15 0
e 12 13 0
e 13 15 0
