t 16 44
v 0 29 2
v 1 2 3
v 2 39 3
v 3 18 6
v 4 1 3
v 5 12 8
v 6 28 9
v 7 11 7
v 8 14 2
v 9 35 5
v 10 8 7
v 11 19 2
v 12 3 7
v 13 34 5
v 14 28 6
v 15 1 13
e 0 15 0
e 0 11 0
e 1 15 0
e 1 4 0
e 1 5 0
e 2 15 0
e 2 4 0
e 2 5 0
e 3 15 0
e 3 12 0
e 3 10 0
e 3 6 0
e 3 7 0
e 3 14 0
e 4 15 0
e 5 15 0
e 5 12 0
e 5 10 0
e 5 8 0
e 5 6 0
e 5 13 0
e 6 15 0
e 6 12 0
e 6 10 0
e 6 13 0
e 6 7 0
e 6 9 0
e 6 14 0
e 7 15 0
e 7 12 0
e 7 10 0
e 7 9 0
e 7 14 0
e 8 15 0
e 9 15 0
e 9 12 0
e 9 10 0
e 10 13 0
e 10 14 0
e 11 15 0
e 12 13 0
e 12 14 0
e 13 15 0
e 14 15 0
