t 16 89
v 0 23 15
v 1 23 8
v 2 38 7
v 3 27 8
v 4 17 15
v 5 9 15
v 6 30 15
v 7 4 8
v 8 16 8
v 9 29 15
v 10 12 7
v 11 14 10
v 12 25 9
v 13 13 15
v 14 27 15
v 15 6 8
e 0 4 0
e 0 5 0
e 0 6 0
e 0 14 0
e 0 13 0
e 0 9 0
e 0 12 0
e 0 2 0
e 0 11 0
e 0 3 0
e 0 8 0
e 0 15 0
e 0 10 0
e 0 7 0
e 0 1 0
e 1 4 0
e 1 5 0
e 1 6 0
e 1 14 0
e 1 13 0
e 1 9 0
e 1 12 0
e 2 4 0
e 2 5 0
e 2 6 0
e 2 14 0
e 2 13 0
e 2 9 0
e 3 4 0
e 3 5 0
e 3 6 0
e 3 14 0
e 3 13 0
e 3 9 0
e 3 11 0
e 4 5 0
e 4 6 0
e 4 14 0
e 4 13 0
e 4 9 0
e 4 12 0
e 4 11 0
e 4 8 0
e 4 15 0
e 4 10 0
e 4 7 0
e 5 6 0
e 5 14 0
e 5 13 0
e 5 9 0
e 5 12 0
e 5 11 0
e 5 8 0
e 5 15 0
e 5 10 0
e 5 7 0
e 6 14 0
e 6 13 0
e 6 9 0
e 6 12 0
e 6 11 0
e 6 8 0
e 6 15 0
e 6 10 0
e 6 7 0
e 7 14 0
e 7 13 0
e 7 9 0
e 7 12 0
e 8 14 0
e 8 13 0
e 8 9 0
e 8 11 0
e 9 14 0
e 9 13 0
e 9 12 0
e 9 11 0
e 9 15 0
e 9 10 0
e 10 14 0
e 10 13 0
e 11 14 0
e 11 13 0
e 11 15 0
e 12 14 0
e 12 13 0
e 13 14 0
e 13 15 0
e 14 15 0
