t 16 58
v 0 12 4
v 1 27 6
v 2 31 14
v 3 32 4
v 4 20 15
v 5 30 4
v 6 0 4
v 7 13 15
v 8 15 5
v 9 2 14
v 10 37 5
v 11 4 5
v 12 18 5
v 13 39 6
v 14 10 4
v 15 34 6
e 0 2 0
e 0 4 0
e 0 7 0
e 0 9 0
e 1 2 0
e 1 4 0
e 1 7 0
e 1 9 0
e 1 15 0
e 1 13 0
e 2 4 0
e 2 7 0
e 2 3 0
e 2 15 0
e 2 13 0
e 2 10 0
e 2 8 0
e 2 5 0
e 2 6 0
e 2 11 0
e 2 12 0
e 2 14 0
e 3 4 0
e 3 7 0
e 3 9 0
e 4 7 0
e 4 9 0
e 4 15 0
e 4 13 0
e 4 10 0
e 4 8 0
e 4 5 0
e 4 6 0
e 4 11 0
e 4 12 0
e 4 14 0
e 5 7 0
e 5 9 0
e 6 7 0
e 6 9 0
e 7 9 0
e 7 15 0
e 7 13 0
e 7 10 0
e 7 8 0
e 7 11 0
e 7 12 0
e 7 14 0
e 8 9 0
e 8 15 0
e 9 15 0
e 9 13 0
e 9 10 0
e 9 11 0
e 9 12 0
e 9 14 0
e 10 13 0
e 11 12 0
