t 16 50
v 0 6 5
v 1 33 3
v 2 8 5
v 3 6 8
v 4 7 8
v 5 4 15
v 6 35 5
v 7 32 8
v 8 30 4
v 9 36 15
v 10 6 5
v 11 9 4
v 12 5 3
v 13 39 5
v 14 34 4
v 15 6 3
e 0 5 0
e 0 9 0
e 0 7 0
e 0 3 0
e 0 4 0
e 1 5 0
e 1 9 0
e 1 11 0
e 2 5 0
e 2 9 0
e 2 12 0
e 2 8 0
e 2 14 0
e 3 5 0
e 3 9 0
e 3 7 0
e 3 4 0
e 3 6 0
e 3 13 0
e 3 10 0
e 4 5 0
e 4 9 0
e 4 7 0
e 4 6 0
e 4 13 0
e 4 10 0
e 5 9 0
e 5 11 0
e 5 15 0
e 5 7 0
e 5 6 0
e 5 13 0
e 5 10 0
e 5 12 0
e 5 8 0
e 5 14 0
e 6 9 0
e 6 7 0
e 7 9 0
e 7 13 0
e 7 10 0
e 8 9 0
e 8 14 0
e 9 11 0
e 9 15 0
e 9 13 0
e 9 10 0
e 9 12 0
e 9 14 0
e 11 15 0
