t 16 46
v 0 1 4
v 1 5 5
v 2 23 13
v 3 10 5
v 4 10 4
v 5 34 4
v 6 9 7
v 7 30 7
v 8 27 7
v 9 14 7
v 10 26 5
v 11 15 7
v 12 30 5
v 13 9 7
v 14 15 1
v 15 20 4
e 0 2 0
e 0 11 0
e 0 9 0
e 0 13 0
e 1 2 0
e 1 6 0
e 1 7 0
e 1 8 0
e 1 12 0
e 2 6 0
e 2 7 0
e 2 8 0
e 2 12 0
e 2 10 0
e 2 3 0
e 2 9 0
e 2 13 0
e 2 4 0
e 2 15 0
e 2 5 0
e 3 6 0
e 3 7 0
e 3 8 0
e 3 10 0
e 4 11 0
e 4 9 0
e 4 13 0
e 5 11 0
e 5 9 0
e 5 13 0
e 6 7 0
e 6 8 0
e 6 12 0
e 6 10 0
e 7 8 0
e 7 12 0
e 7 10 0
e 8 12 0
e 8 10 0
e 9 11 0
e 9 13 0
e 9 15 0
e 11 13 0
e 11 14 0
e 11 15 0
e 13 15 0
