t 16 51
v 0 23 15
v 1 25 5
v 2 35 4
v 3 23 4
v 4 36 5
v 5 13 6
v 6 30 5
v 7 27 5
v 8 13 5
v 9 6 4
v 10 17 5
v 11 22 10
v 12 9 10
v 13 2 10
v 14 16 4
v 15 26 5
e 0 6 0
e 0 8 0
e 0 10 0
e 0 2 0
e 0 13 0
e 0 11 0
e 0 12 0
e 0 15 0
e 0 5 0
e 0 3 0
e 0 9 0
e 0 14 0
e 0 7 0
e 0 4 0
e 0 1 0
e 1 13 0
e 1 11 0
e 1 12 0
e 1 5 0
e 2 6 0
e 2 8 0
e 2 10 0
e 3 6 0
e 3 8 0
e 3 10 0
e 4 13 0
e 4 11 0
e 4 12 0
e 4 15 0
e 5 13 0
e 5 11 0
e 5 12 0
e 5 7 0
e 6 8 0
e 6 10 0
e 7 13 0
e 7 11 0
e 7 12 0
e 8 10 0
e 9 13 0
e 9 11 0
e 9 12 0
e 11 13 0
e 11 12 0
e 11 15 0
e 11 14 0
e 12 13 0
e 12 15 0
e 12 14 0
e 13 15 0
e 13 14 0
