t 16 63
v 0 1 12
v 1 1 8
v 2 5 8
v 3 1 7
v 4 5 6
v 5 4 13
v 6 1 5
v 7 4 10
v 8 3 5
v 9 5 5
v 10 2 10
v 11 5 4
v 12 2 8
v 13 4 13
v 14 4 7
v 15 3 5
e 0 5 0
e 0 7 0
e 0 13 0
e 0 2 0
e 0 8 0
e 0 12 0
e 0 10 0
e 0 11 0
e 0 6 0
e 0 4 0
e 0 1 0
e 0 9 0
e 1 5 0
e 1 13 0
e 1 14 0
e 1 12 0
e 1 10 0
e 1 9 0
e 1 6 0
e 2 5 0
e 2 7 0
e 2 13 0
e 2 3 0
e 2 10 0
e 2 12 0
e 2 4 0
e 3 5 0
e 3 7 0
e 3 13 0
e 3 12 0
e 3 14 0
e 3 15 0
e 4 5 0
e 4 7 0
e 4 13 0
e 4 8 0
e 5 13 0
e 5 14 0
e 5 12 0
e 5 15 0
e 5 7 0
e 5 8 0
e 5 11 0
e 5 10 0
e 6 13 0
e 6 12 0
e 6 10 0
e 7 10 0
e 7 15 0
e 7 8 0
e 7 13 0
e 7 9 0
e 8 11 0
e 9 14 0
e 9 10 0
e 10 13 0
e 10 14 0
e 10 12 0
e 11 13 0
e 12 13 0
e 13 14 0
e 13 15 0
e 14 15 0
