t 16 91
v 0 0 13
v 1 4 10
v 2 4 8
v 3 4 10
v 4 2 9
v 5 1 14
v 6 4 14
v 7 0 8
v 8 2 10
v 9 2 10
v 10 2 15
v 11 5 14
v 12 1 15
v 13 0 10
v 14 3 11
v 15 2 11
e 0 3 0
e 0 5 0
e 0 6 0
e 0 10 0
e 0 11 0
e 0 12 0
e 0 14 0
e 0 15 0
e 0 1 0
e 0 8 0
e 0 4 0
e 0 7 0
e 0 9 0
e 1 3 0
e 1 5 0
e 1 6 0
e 1 10 0
e 1 11 0
e 1 12 0
e 1 14 0
e 1 15 0
e 1 9 0
e 2 5 0
e 2 12 0
e 2 10 0
e 2 9 0
e 2 13 0
e 2 6 0
e 2 3 0
e 2 4 0
e 3 14 0
e 3 12 0
e 3 13 0
e 3 5 0
e 3 8 0
e 3 11 0
e 3 10 0
e 4 5 0
e 4 6 0
e 4 10 0
e 4 11 0
e 4 12 0
e 4 13 0
e 4 8 0
e 5 12 0
e 5 14 0
e 5 6 0
e 5 9 0
e 5 11 0
e 5 15 0
e 5 7 0
e 5 13 0
e 5 10 0
e 6 12 0
e 6 10 0
e 6 14 0
e 6 9 0
e 6 13 0
e 6 7 0
e 6 15 0
e 6 8 0
e 6 11 0
e 7 10 0
e 7 11 0
e 7 12 0
e 7 15 0
e 7 9 0
e 8 10 0
e 8 11 0
e 8 12 0
e 8 13 0
e 8 14 0
e 8 15 0
e 9 10 0
e 9 11 0
e 9 12 0
e 9 15 0
e 10 11 0
e 10 14 0
e 10 15 0
e 10 12 0
e 10 13 0
e 11 14 0
e 11 13 0
e 11 15 0
e 11 12 0
e 12 15 0
e 12 13 0
e 12 14 0
e 13 14 0
e 14 15 0
