t 16 68
v 0 0 15
v 1 3 8
v 2 1 9
v 3 5 8
v 4 2 8
v 5 0 7
v 6 4 13
v 7 2 11
v 8 0 8
v 9 1 8
v 10 2 7
v 11 4 6
v 12 0 7
v 13 1 6
v 14 5 9
v 15 1 6
e 0 5 0
e 0 15 0
e 0 9 0
e 0 1 0
e 0 14 0
e 0 13 0
e 0 11 0
e 0 8 0
e 0 4 0
e 0 3 0
e 0 7 0
e 0 10 0
e 0 6 0
e 0 2 0
e 0 12 0
e 1 15 0
e 1 11 0
e 1 12 0
e 1 6 0
e 1 8 0
e 1 2 0
e 1 9 0
e 2 5 0
e 2 4 0
e 2 6 0
e 2 7 0
e 2 10 0
e 2 3 0
e 2 14 0
e 3 5 0
e 3 15 0
e 3 4 0
e 3 6 0
e 3 14 0
e 3 13 0
e 4 5 0
e 4 13 0
e 4 6 0
e 4 14 0
e 4 7 0
e 5 14 0
e 5 7 0
e 5 6 0
e 6 9 0
e 6 13 0
e 6 14 0
e 6 8 0
e 6 10 0
e 6 11 0
e 6 12 0
e 7 15 0
e 7 9 0
e 7 13 0
e 7 11 0
e 7 12 0
e 7 14 0
e 7 10 0
e 8 15 0
e 8 9 0
e 8 12 0
e 8 11 0
e 8 10 0
e 9 12 0
e 9 14 0
e 9 11 0
e 10 15 0
e 10 12 0
e 13 14 0
