t 16 64
v 0 0 10
v 1 3 10
v 2 2 4
v 3 5 6
v 4 5 7
v 5 5 15
v 6 5 12
v 7 2 9
v 8 0 7
v 9 5 7
v 10 4 7
v 11 5 4
v 12 2 7
v 13 4 9
v 14 5 7
v 15 5 7
e 0 3 0
e 0 7 0
e 0 8 0
e 0 12 0
e 0 1 0
e 0 5 0
e 0 6 0
e 0 2 0
e 0 14 0
e 0 9 0
e 1 3 0
e 1 4 0
e 1 5 0
e 1 8 0
e 1 10 0
e 1 15 0
e 1 11 0
e 1 2 0
e 1 13 0
e 2 5 0
e 2 6 0
e 3 6 0
e 3 4 0
e 3 7 0
e 3 5 0
e 4 12 0
e 4 7 0
e 4 5 0
e 4 15 0
e 4 6 0
e 5 13 0
e 5 15 0
e 5 8 0
e 5 6 0
e 5 11 0
e 5 9 0
e 5 10 0
e 5 12 0
e 5 14 0
e 5 7 0
e 6 14 0
e 6 8 0
e 6 15 0
e 6 12 0
e 6 7 0
e 6 13 0
e 6 9 0
e 7 15 0
e 7 12 0
e 7 14 0
e 7 10 0
e 8 11 0
e 8 13 0
e 8 9 0
e 9 10 0
e 9 13 0
e 9 14 0
e 10 15 0
e 10 14 0
e 10 13 0
e 11 12 0
e 12 13 0
e 13 15 0
e 13 14 0
