t 16 61
v 0 1 6
v 1 2 8
v 2 5 6
v 3 3 8
v 4 0 8
v 5 4 6
v 6 5 8
v 7 4 6
v 8 2 6
v 9 1 8
v 10 4 9
v 11 2 14
v 12 0 9
v 13 2 6
v 14 0 8
v 15 4 6
e 0 10 0
e 0 11 0
e 0 14 0
e 0 4 0
e 0 3 0
e 0 2 0
e 1 15 0
e 1 10 0
e 1 11 0
e 1 14 0
e 1 12 0
e 1 5 0
e 1 6 0
e 1 8 0
e 2 9 0
e 2 10 0
e 2 11 0
e 2 14 0
e 2 12 0
e 3 9 0
e 3 10 0
e 3 11 0
e 3 14 0
e 3 12 0
e 3 4 0
e 3 13 0
e 4 9 0
e 4 10 0
e 4 11 0
e 4 14 0
e 4 12 0
e 4 13 0
e 5 15 0
e 5 11 0
e 5 8 0
e 5 7 0
e 5 6 0
e 6 15 0
e 6 11 0
e 6 14 0
e 6 12 0
e 6 8 0
e 6 7 0
e 7 15 0
e 7 11 0
e 7 12 0
e 7 8 0
e 8 15 0
e 8 11 0
e 9 13 0
e 9 12 0
e 9 11 0
e 9 14 0
e 9 10 0
e 10 12 0
e 10 13 0
e 10 11 0
e 11 15 0
e 11 13 0
e 11 12 0
e 13 14 0
