t 16 56
v 0 2 6
v 1 1 14
v 2 4 9
v 3 3 6
v 4 0 6
v 5 3 6
v 6 5 12
v 7 1 7
v 8 0 10
v 9 4 7
v 10 4 6
v 11 1 5
v 12 5 4
v 13 3 5
v 14 3 4
v 15 1 5
e 0 2 0
e 0 4 0
e 0 5 0
e 0 6 0
e 0 1 0
e 0 14 0
e 1 9 0
e 1 2 0
e 1 3 0
e 1 4 0
e 1 5 0
e 1 6 0
e 1 7 0
e 1 11 0
e 1 10 0
e 1 12 0
e 1 15 0
e 1 13 0
e 1 14 0
e 2 8 0
e 2 6 0
e 2 3 0
e 2 10 0
e 2 7 0
e 2 13 0
e 2 11 0
e 3 8 0
e 3 6 0
e 3 13 0
e 3 4 0
e 4 8 0
e 4 5 0
e 4 11 0
e 5 9 0
e 5 13 0
e 5 7 0
e 6 8 0
e 6 9 0
e 6 13 0
e 6 7 0
e 6 10 0
e 6 12 0
e 6 14 0
e 6 15 0
e 7 8 0
e 7 10 0
e 7 15 0
e 8 12 0
e 8 15 0
e 8 11 0
e 8 9 0
e 8 14 0
e 9 12 0
e 9 11 0
e 9 10 0
e 10 15 0
