t 16 66
v 0 2 15
v 1 1 10
v 2 0 14
v 3 1 8
v 4 1 7
v 5 5 7
v 6 2 7
v 7 0 8
v 8 5 7
v 9 1 8
v 10 4 5
v 11 1 7
v 12 5 7
v 13 4 6
v 14 0 8
v 15 2 8
e 0 8 0
e 0 9 0
e 0 15 0
e 0 14 0
e 0 3 0
e 0 1 0
e 0 13 0
e 0 6 0
e 0 4 0
e 0 2 0
e 0 5 0
e 0 12 0
e 0 7 0
e 0 11 0
e 0 10 0
e 1 4 0
e 1 9 0
e 1 3 0
e 1 7 0
e 1 15 0
e 1 14 0
e 1 5 0
e 1 6 0
e 1 2 0
e 2 9 0
e 2 13 0
e 2 11 0
e 2 15 0
e 2 14 0
e 2 7 0
e 2 3 0
e 2 5 0
e 2 12 0
e 2 6 0
e 2 10 0
e 2 8 0
e 3 10 0
e 3 8 0
e 3 13 0
e 3 9 0
e 3 11 0
e 4 6 0
e 4 14 0
e 4 7 0
e 4 15 0
e 4 5 0
e 5 15 0
e 5 7 0
e 5 14 0
e 6 15 0
e 6 14 0
e 6 7 0
e 7 14 0
e 7 15 0
e 8 9 0
e 8 13 0
e 8 12 0
e 8 11 0
e 9 10 0
e 9 11 0
e 9 12 0
e 10 12 0
e 11 13 0
e 11 12 0
e 12 13 0
e 14 15 0
