t 16 57
v 0 2 4
v 1 0 6
v 2 3 10
v 3 4 7
v 4 2 6
v 5 2 9
v 6 1 5
v 7 4 6
v 8 5 8
v 9 1 8
v 10 1 6
v 11 4 13
v 12 0 7
v 13 0 6
v 14 1 5
v 15 0 8
e 0 11 0
e 0 7 0
e 0 9 0
e 0 2 0
e 1 12 0
e 1 11 0
e 1 5 0
e 1 8 0
e 1 4 0
e 1 6 0
e 2 12 0
e 2 11 0
e 2 5 0
e 2 7 0
e 2 8 0
e 2 9 0
e 2 13 0
e 2 6 0
e 2 3 0
e 3 12 0
e 3 10 0
e 3 11 0
e 3 5 0
e 3 15 0
e 3 13 0
e 4 11 0
e 4 7 0
e 4 8 0
e 4 9 0
e 4 15 0
e 5 12 0
e 5 11 0
e 5 7 0
e 5 13 0
e 5 15 0
e 5 14 0
e 6 10 0
e 6 11 0
e 6 8 0
e 7 8 0
e 7 9 0
e 8 10 0
e 8 11 0
e 8 9 0
e 9 12 0
e 9 11 0
e 9 15 0
e 10 12 0
e 10 14 0
e 10 11 0
e 11 14 0
e 11 15 0
e 11 13 0
e 12 15 0
e 13 15 0
e 13 14 0
e 14 15 0
