t 16 67
v 0 4 12
v 1 3 14
v 2 1 7
v 3 2 8
v 4 5 7
v 5 2 9
v 6 5 8
v 7 5 9
v 8 4 8
v 9 0 7
v 10 2 8
v 11 5 9
v 12 4 7
v 13 5 7
v 14 2 6
v 15 1 8
e 0 4 0
e 0 10 0
e 0 2 0
e 0 15 0
e 0 7 0
e 0 6 0
e 0 5 0
e 0 12 0
e 0 11 0
e 0 1 0
e 0 13 0
e 0 14 0
e 1 4 0
e 1 3 0
e 1 2 0
e 1 6 0
e 1 11 0
e 1 12 0
e 1 5 0
e 1 13 0
e 1 7 0
e 1 8 0
e 1 15 0
e 1 14 0
e 1 9 0
e 2 15 0
e 2 11 0
e 2 13 0
e 2 12 0
e 2 14 0
e 3 4 0
e 3 9 0
e 3 7 0
e 3 6 0
e 3 8 0
e 3 5 0
e 3 10 0
e 4 10 0
e 4 6 0
e 4 15 0
e 4 7 0
e 5 6 0
e 5 9 0
e 5 10 0
e 5 7 0
e 5 11 0
e 5 8 0
e 6 8 0
e 6 9 0
e 6 7 0
e 7 9 0
e 7 10 0
e 7 8 0
e 8 11 0
e 8 9 0
e 8 10 0
e 9 10 0
e 10 12 0
e 11 15 0
e 11 13 0
e 11 14 0
e 11 12 0
e 12 15 0
e 12 13 0
e 13 15 0
e 13 14 0
e 14 15 0
